ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,"2018",0,"Total",80152,15503,"Census Tract 76, King County, WA","14000US53033007600"
2018,"2018",0,"Total",113397,15409,"Census Tract 77, King County, WA","14000US53033007700"
2018,"2018",0,"Total",173438,50467,"Census Tract 78, King County, WA","14000US53033007800"
2018,"2018",0,"Total",78846,8259,"Census Tract 79, King County, WA","14000US53033007900"
2018,"2018",0,"Total",125196,18391,"Census Tract 80.01, King County, WA","14000US53033008001"
2018,"2018",0,"Total",60699,16107,"Census Tract 80.02, King County, WA","14000US53033008002"
2018,"2018",0,"Total",68884,24494,"Census Tract 81, King County, WA","14000US53033008100"
2018,"2018",0,"Total",81736,15299,"Census Tract 82, King County, WA","14000US53033008200"
2018,"2018",0,"Total",70000,11469,"Census Tract 83, King County, WA","14000US53033008300"
2018,"2018",0,"Total",60910,17124,"Census Tract 84, King County, WA","14000US53033008400"
2018,"2018",0,"Total",50250,8110,"Census Tract 85, King County, WA","14000US53033008500"
2018,"2018",0,"Total",51190,11674,"Census Tract 86, King County, WA","14000US53033008600"
2018,"2018",0,"Total",83090,18867,"Census Tract 87, King County, WA","14000US53033008700"
2018,"2018",0,"Total",120608,14777.999999999998,"Census Tract 88, King County, WA","14000US53033008800"
2018,"2018",0,"Total",99167,16750,"Census Tract 89, King County, WA","14000US53033008900"
2018,"2018",0,"Total",43438,13943,"Census Tract 90, King County, WA","14000US53033009000"
2018,"2018",0,"Total",34650,7210,"Census Tract 91, King County, WA","14000US53033009100"
2018,"2018",0,"Total",21387,7495.999999999999,"Census Tract 92, King County, WA","14000US53033009200"
2018,"2018",0,"Total",85750,14559,"Census Tract 93, King County, WA","14000US53033009300"
2018,"2018",0,"Total",65255,11669,"Census Tract 94, King County, WA","14000US53033009400"
2018,"2018",0,"Total",95075,25655,"Census Tract 95, King County, WA","14000US53033009500"
2018,"2018",0,"Total",102569,25625,"Census Tract 96, King County, WA","14000US53033009600"
2018,"2018",0,"Total",110368,20521,"Census Tract 97.01, King County, WA","14000US53033009701"
2018,"2018",0,"Total",120189,10153,"Census Tract 97.02, King County, WA","14000US53033009702"
2018,"2018",0,"Total",114212,15418,"Census Tract 98, King County, WA","14000US53033009800"
2018,"2018",0,"Total",81066,12569,"Census Tract 99, King County, WA","14000US53033009900"
2018,"2018",0,"Total",63891,9486,"Census Tract 100.01, King County, WA","14000US53033010001"
2018,"2018",0,"Total",74953,9879,"Census Tract 100.02, King County, WA","14000US53033010002"
2018,"2018",0,"Total",87188,22389,"Census Tract 101, King County, WA","14000US53033010100"
2018,"2018",0,"Total",111026,20090,"Census Tract 102, King County, WA","14000US53033010200"
2018,"2018",0,"Total",63493,15273,"Census Tract 103, King County, WA","14000US53033010300"
2018,"2018",0,"Total",78407,15510.999999999998,"Census Tract 104.01, King County, WA","14000US53033010401"
2018,"2018",0,"Total",81979,9701,"Census Tract 104.02, King County, WA","14000US53033010402"
2018,"2018",0,"Total",83245,6820.000000000001,"Census Tract 105, King County, WA","14000US53033010500"
2018,"2018",0,"Total",105896,9643,"Census Tract 106, King County, WA","14000US53033010600"
2018,"2018",0,"Total",67617,6054,"Census Tract 107.01, King County, WA","14000US53033010701"
2018,"2018",0,"Total",46731,8776,"Census Tract 107.02, King County, WA","14000US53033010702"
2018,"2018",0,"Total",92756,13142,"Census Tract 108, King County, WA","14000US53033010800"
2018,"2018",0,"Total",63536,14645,"Census Tract 109, King County, WA","14000US53033010900"
2018,"2018",0,"Total",32247,4612,"Census Tract 110.01, King County, WA","14000US53033011001"
2018,"2018",0,"Total",53300,10059,"Census Tract 110.02, King County, WA","14000US53033011002"
2018,"2018",0,"Total",53295,3716.9999999999995,"Census Tract 111.01, King County, WA","14000US53033011101"
2018,"2018",0,"Total",84491,16267.000000000002,"Census Tract 111.02, King County, WA","14000US53033011102"
2018,"2018",0,"Total",56629,9391,"Census Tract 113, King County, WA","14000US53033011300"
2018,"2018",0,"Total",68333,7388.999999999999,"Census Tract 114.01, King County, WA","14000US53033011401"
2018,"2018",0,"Total",50285,5018,"Census Tract 114.02, King County, WA","14000US53033011402"
2018,"2018",0,"Total",99706,21283,"Census Tract 115, King County, WA","14000US53033011500"
2018,"2018",0,"Total",107201,12735,"Census Tract 116, King County, WA","14000US53033011600"
2018,"2018",0,"Total",83786,5820,"Census Tract 117, King County, WA","14000US53033011700"
2018,"2018",0,"Total",58827,10195,"Census Tract 118, King County, WA","14000US53033011800"
2018,"2018",0,"Total",93862,13664,"Census Tract 119, King County, WA","14000US53033011900"
2018,"2018",0,"Total",104474,12894,"Census Tract 120, King County, WA","14000US53033012000"
2018,"2018",0,"Total",116836,10695,"Census Tract 121, King County, WA","14000US53033012100"
2017,"2017",0,"Total",50030,8291,"Census Tract 1, King County, WA","14000US53033000100"
2017,"2017",0,"Total",67397,5724,"Census Tract 2, King County, WA","14000US53033000200"
2017,"2017",0,"Total",73098,15848,"Census Tract 3, King County, WA","14000US53033000300"
2017,"2017",0,"Total",32568,2370,"Census Tract 4.01, King County, WA","14000US53033000401"
2017,"2017",0,"Total",64972,13814,"Census Tract 4.02, King County, WA","14000US53033000402"
2017,"2017",0,"Total",135524,15001.999999999998,"Census Tract 5, King County, WA","14000US53033000500"
2017,"2017",0,"Total",61536,10029,"Census Tract 6, King County, WA","14000US53033000600"
2017,"2017",0,"Total",52957,5666,"Census Tract 7, King County, WA","14000US53033000700"
2017,"2017",0,"Total",97344,18239,"Census Tract 8, King County, WA","14000US53033000800"
2017,"2017",0,"Total",135625,23332,"Census Tract 9, King County, WA","14000US53033000900"
